127.0.0.1 - - [30/Sep/2021:19:03:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:47 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:47 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:29:52 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:29:52 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:29:52 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:29:52 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:30:00 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:30:00 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:09 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:09 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:09 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:09 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:23 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:32:23 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:29 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:29 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:29 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:29 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:36 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:36 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:33:45 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:16 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:16 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:16 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:16 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:24 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:34:24 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:20 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:20 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:20 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:20 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:27 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:28 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:35:37 +0530] "GET /HelpDeskDemo/updateuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:35 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:35 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:35 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:35 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:47 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:36:47 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:37:58 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:37:58 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:37:58 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:37:58 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:38:07 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:38:07 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:48 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:48 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:48 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:48 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:56 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:45:56 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:46:01 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:40 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:40 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:40 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:40 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:48 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:54:48 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:48 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:48 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:48 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:48 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:57 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:57 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:06:59 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:44 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:44 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:44 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:44 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:54 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:21:08:56 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:26 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:26 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:26 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:26 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:26 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:35 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:35 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:08:41 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:16 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:16 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:16 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:16 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:24 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:09:28 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:19 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:19 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:19 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:19 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:30 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:13:33 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:28 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:28 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:28 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:28 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:39 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:16:44 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:09 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:09 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:09 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:09 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:17 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:17 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:19:29 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:10 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:10 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:10 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:10 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:21 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:22:25 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [30/Sep/2021:22:23:44 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
